LY,ND,TM,DYZZ,TXZZ,QBZZ,CBS,NFJM,FBSJ
省科学技术奖,2021,Novel bimorphological anisotropic bulk nanocomposite materials with high energy products,李晓红,张湘义,李晓红；娄理；宋文鹏；黄光伟；侯福臣；张前；张海天；肖建伟；温斌；张湘义,Adv. Mater.,2017年29卷1606430页,2017/2/20
省科学技术奖,2021,Controllably manipulating three-dimensional hybrid nanostructures for bulk nanocomposites with large energy products,李晓红,张湘义,李晓红；娄理；宋文鹏；张前；黄光伟；化迎新；张海天；肖建伟；温斌；张湘义,Nano Letters,2017年17卷2985-2993页,2017/4/12
省科学技术奖,2021,Three-dimensional self-assembly of core/shell-like nanostructures for high-performance nanocomposite permanent magnets,李海玲,张湘义；李晓红,李海玲；李晓红；郭得峰；娄理；李伟；张湘义,Nano Letters,2016年16卷5631-5638页,2016/8/29
省科学技术奖,2021,Development of crystal texture in Nd-lean amorphous Nd9Fe85B6 under hot deformation,刘延国,张湘义,刘延国；许磊；王青峰；李伟；张湘义,Appl. Phys. Lett.,2009年94卷172502页,2009/4/27
省科学技术奖,2021,Controllable nanocrystallization in amorphous Nd9Fe85B6 via combined application of severe plastic deformation and thermal annealing,李伟,张湘义,李伟；李兰兰；南云；李晓红；张湘义,Appl. Phys. Lett.,2007年91卷062509页,2007/8/7
省科学技术奖,2021,Ultrahigh volumetric capacitance and cyclic stability of fluorine and nitrogen co-doped carbon microspheres,周军双,高发明,周军双；练睫；侯莉；张俊川；缑慧阳；夏美荣；赵玉峰；陶璐；高发明,Nature Communications,2015年6期8503页,2015/9/29
省科学技术奖,2021,N-P-O co-doped high performance 3D graphene prepared through red phosphorous-assisted “cutting-thin” technique: A universal synthesis and multifunctional applications,赵玉峰,赵玉峰；侯仰龙,赵玉峰；黄士飞；夏美荣；木士春；寇宗魁；张智；陈朝阳；高发明；侯仰龙,Nano Energy,2016年28卷346-355页,2016/9/11
省科学技术奖,2021,High-Performance Asymmetric Supercapacitors Based on Multilayer MnO2/Graphene Oxide Nanoflakes and Hierarchical Porous Carbon with Enhanced Cycling Stability.,赵玉峰,赵玉峰；黄一中,赵玉峰；冉伟；何静；黄一中；刘志锋；柳伟；唐永福；张隆；高大威；高发明,Small,2015年11卷1310-1319页,2014/11/10
省科学技术奖,2021,Nickel Cobalt Hydroxide @Reduced Graphene Oxide Hybrid Nanolayers for High Performance Asymmetric Supercapacitors with Remarkable Cycling Stability.,马红楠,赵玉峰,马红楠；何静；熊定邦；吴劲松；李倩倩；赵玉峰,ACS Applied Materials Interfaces,2016年8卷3期1992-2000页,2016/1/8
省科学技术奖,2021,Oxygen-Rich Hierarchical Porous Carbon Derived from Artemia Cyst Shells with Superior Electrochemical Performance.,赵玉峰,赵玉峰；吴劲松,赵玉峰；冉伟；何静；宋艳芳；张春明；熊定邦；高发明；吴劲松；夏永姚,ACS Applied Materials Interfaces,2015年7卷2期1132-1139页,2014/12/22
省科学技术奖,2021,Plasma surface treatment to improve surface charge accumulation and dissipation of epoxy resin exposed to DC and nanosecond-pulse voltages,章程,邵涛,章程；林浩凡；张帅；谢庆；任成燕；邵涛,Journal of Physics D Applied Physics,2017年50卷405203页,2017/9/14
省科学技术奖,2021,Enhanced surface flashover strength in vacuum of polymethylmethacrylate by surface modification using atmospheric-pressure dielectric barrier discharge,邵涛,邵涛,邵涛；杨文晋；章程；牛铮；严萍,Applied Physics Letters,2014年105卷7期071607页,2014/8/21
省科学技术奖,2021,环氧树脂真空沿面闪络后表面形貌的AFM分析及分形特征提取,谢庆,谢庆,谢庆；付可欣；陆路；梁少栋；黄河；律方成,电工技术学报,2017年32卷16期245-255页,2017/8/25
省科学技术奖,2021,Correlation between surface charge and DC surface flashover of plasma treated epoxy resin,邵涛,邵涛,邵涛；孔飞；林浩凡；马翊洋；谢庆；章程,IEEE Transactions on Dielectrics and Electrical Insulation,2018年25卷4期1267-1274页,2018/8/10
省科学技术奖,2021,Surface modification of epoxy using an atmospheric pressure dielectric barrier discharge to accelerate surface charge dissipation,邵涛,邵涛,邵涛；刘峰；海彬；马云飞；王瑞雪；任成燕,IEEE Transactions on Dielectrics and Electrical Insulation,2017年24卷3期1557-1565页,2017/6/29
省科学技术奖,2021,基于机会约束目标规划的风火储系统滚动调度,华北电力大学,,王扬；赵书强；徐岩；殷加玞,ISSN 1000-3673,,2017/1/5
省科学技术奖,2021,利用快速S变换及2DPCA的同调机组识别,华北电力大学；中国电力科学研究院有限公司；三峡大学,,王涛；杨越；仲悟之；顾雪平；胡潇予；孙舶皓,ISSN 1000-3673,,2018/10/5
省科学技术奖,2021,基于案例推理的智能电网约束优化技术研究,国网河北省电力有限公司电力科学研究院；国网河北省电力有限公司,,李铁成；臧谦；高泽明；程伦；张立；李晓明,ISSN 1005-9490,,2020/12/20
省科学技术奖,2021,Biomimetic cardiovascular stents for in vivo re-endothelialization,河北工业大学；天津市胸科医院；南开大学；国家纳米科技中心；丹麦奥尔胡斯大学,,梁春永；胡越成；王洪水；夏丹；李强；张娇；杨建军；李宝娥；李海鹏；韩冬,0142-9612,,2016/6/14
省科学技术奖,2021,Preparation and surface modification of 3D printed Ti–6Al–4V porous implant,河北工业大学,,梁春永；江晓静；纪瑞龙；李宝娥；邹显睿；王洪水；郝静祖；杨泰,1001-0521,,2021/5/1
省科学技术奖,2021,Study on the characteristics and mechanisms of the wind-induced vibration of micro-elliptical section stay cables,石家庄铁道大学,,刘庆宽；孙一飞；贾娅娅；马文勇；肖彬,0167-6105,,2020/9/6
省科学技术奖,2021,大跨度桥梁索杆风荷载计算,石家庄铁道大学,,刘庆宽；张卓杰；郑云飞；孙一飞；贾娅娅,ISBN 978-7-114-17091-1,,2021/2/1
省科学技术奖,2021,Reliability Assessment of InAlN/GaN HFETs With Lifetime 8.9×10^6 h,中国电子科技集团公司第十三研究所,,王元刚；吕元杰；宋旭波；迟雷；尹甲运；周幸叶；房玉龙；谭鑫；郭红雨；彭浩；顾国栋；冯志红；蔡树军,0741-3106,,2017/3/7
省科学技术奖,2021,A 177-183 GHz High-Power GaN-Based Frequency Doubler With Over 200 mW Output Power,中国电子科技集团公司第十三研究所,,梁士雄；宋旭波；张立森；吕元杰；王元刚；魏碧华；郭艳敏；王波；蔡树军；冯志红,0741-3106,,2020/3/19
省科学技术奖,2021,High-Speed Efficient Terahertz Modulation Based on Tunable Collective-Individual State Conversion within an Active 3 nm TwoDimensional Electron Gas Metasurface,电子科技大学；中国电子科技集团公司第十三研究所,,赵运成；王兰；张雅鑫；乔绅；梁士雄；周天驰；张希琳；郭小庆；冯志红；兰峰；陈智；杨晓波；杨梓强,1530-6984,,2019/8/9
省科学技术奖,2021,"Effects of Al-based alloy powders on the mechanical behavior, corrosion resistance and infrared emissivity of polyurethane composite coatings",燕山大学；河北工业大学,,马占山；李强；魏晋发；梁春永；杨泰；王葛；夏超群,0927-7757,,2021/5/8
省科学技术奖,2021,虚拟同步发电机并网运行适应性分析及探讨,国网冀北电力有限公司； 国网冀北电力有限公司电力科学研究院；国家电网公司风光储联合发电运行技术实验室,,葛俊；刘辉；江浩；王晓声；孙大卫,ISSN1000-1026,,2018/5/10
省科学技术奖,2021,电涡流传感器性能优化关键技术,河北工业大学；中广核研究院有限公司,,李满宏；王经天；吴玉；陈嘉杰；张明路,EI20194607682408,,2019/7/1
省科学技术奖,2021,Bayesian block structure sparse based T-S fuzzy modelling for dynamic prediction of hot metal silicon content in the blast furnace,燕山大学,,李军朋；华长春；杨亚娜；关新平,ISSN: 0278-0046,,2017/11/13
省科学技术奖,2021,Fuzzy classifier design for development tendency of hot metal silicon content in blast furnace,燕山大学,,李军朋；华长春；杨亚娜；关新平,ISSN: 1551-3203,,2017/11/7
省科学技术奖,2021,Operation status prediction based on top gas system analysis for blast furnace,燕山大学,,张利民；华长春；李军朋；关新平,ISSN: 1063-6536,,2016/5/10
省科学技术奖,2021,Phenotypic Characterization and Differential Gene Expression Analysis Reveal the Dwarfism of Dwarf Mutant dwf is Associated with Gibberellin in Eggplant,河北农业大学,,卢阳；李强；李娜；杜文超；于萍；王星；张巍巍；周旋；沈佳佳；赵建军；王彦华；陈雪平；罗双霞；申书兴,ISSN 2311-7524,,2021/5/16
省科学技术奖,2021,茄子遗传多样性研究与遗传连锁图谱构建,河北农业大学,,陈雪平,,,2015/6/8
省科学技术奖,2021,耐低氮茄子基因型的筛选,河北农业大学,,赵付江；申书兴；李青云；陈雪平；王彦华；李晓峰；罗双霞；轩淑欣,ISSN 1672-1810,,2008/9/16
省科学技术奖,2021,茄子氮素利用效率相关性状的配合力分析,河北农业大学,,王彦华；陈雪平；轩淑欣；申书兴,ISSN 1672-1810,,2013/9/16
省科学技术奖,2021,茄子果萼下颜色的遗传分析和 标记的SSR相关性分析,河北农业大学,,相丛超；张巍巍；罗双霞；赵建军；张婷婷；申书兴；陈雪平,ISSN 1000-1573,,2015/7/15
省科学技术奖,2021,不同氮效率茄子氮代谢相关酶活性的差异,河北农业大学,,董玥；陈雪平；罗双霞；王彦华；李青云；赵建军；申书兴,ISSN 1000-7091,,2009/12/28
省科学技术奖,2021,利用SRAP 标记鉴定茄子杂交种品种纯度,河北农业大学,,刘园；罗双霞；王彦华；韩微莉；张晓涛；申书兴；陈雪平,ISSN 1001-4705,,2014/4/28
省科学技术奖,2021,河北省耕地质量监测与保护,河北省耕地质量监测保护中心,,刘克桐；蔡淑红；杨瑞让；张丽娟；尹兴；文宏达；吉艳芝；段霄燕；贾良良；张猛；王娅静；焦会青；张杰；李燕楠；李亚；王平；赵旭；刘萌萌；王贺；方竹,ISBN-978-7-109-27829-5,,2020/12/1
省科学技术奖,2021,土壤&mdash;作物养分管理研究,河北省农林科学院农业资源环境研究所,,邢素丽；贾良良；杨云马；黄少辉；杨军方；董文旭；唐浩；杜金钟；田培荣；邹拓；彭帅宁,ISBN-978-7-5717-0575-6,,2020/11/1
省科学技术奖,2021,Estimation of nitrogen supply for winter wheat production through a long-term field trial in China,中国农业科学院农业资源与农业区划研究所；河北省农林科学院农业资源环境研究所,,黄少辉；丁文成；杨军方；张佳佳；徐新朋；刘迎夏；杨云马；刘孟朝；何萍；贾良良,0301-4797,,2020/9/15
省科学技术奖,2021,边界线法解析冀中南麦区基础地力产量的土壤养分影响因子,河北省农林科学院农业资源环境研究所；河北省农业厅土壤肥料总站；中国农业科学院农业资源与农业区划研究所,,黄少辉；贾良良；杨云马；刘克桐,1002-6819,,2019/3/1
省科学技术奖,2021,磷肥施用深度对夏玉米产量及根系分布的影响,河北省农林科学院农业资源环境研究所,,杨云马；孙彦铭；贾良良；贾树龙；孟春香,0578-1752,,2018/4/16
省科学技术奖,2021,河北省潮土长期定位施钾和秸秆还田对农田土壤钾素状况的影响,河北省农林科学院农业资源环境研究所,,贾良良；韩宝文；刘孟朝；李春杰；邢素丽；孙彦铭,1000-7091,,2014/10/28
省科学技术奖,2021,谷子轻简高效生产技术与产业发展,河北省农林科学院谷子研究所,,李顺国；夏雪岩；程汝宏,ISBN 978-7-5375-9958-0,,2019/7/31
省科学技术奖,2021,QTL mapping for foxtail millet plant height in multi-environment using an ultra-high density bin map,中国农业科学院作物科学研究所；安阳市农业科学院；山西省农科院品种资源研究所；山西省农科院谷子研究所；吉林省农业科学院作物育种研究所；辽宁省农业科学院旱地农林研究所,,贺强；智慧；汤沙；卢兴；王素英；王海岗；张艾英；李俞辉；高鸣；张海金；陈国秋；代书桃；李君霞；杨军军；刘会芳；张伟；贾彦超；李淑杰；刘金荣；刁现民,1432-2242,,2020/10/30
省科学技术奖,2021,Genetic control and phenotypic characterization of panicle architecture and grain yield relatedtraits in foxtail millet (Setariaitalica),中国农业科学院作物科学研究所；山西省农业科学院谷子研究所；吉林农业科学院作物育种研究所；河南农业科学院作物研究所；辽宁省农业科学院旱地农林研究所；山西农业大学农业遗传资源研究中心；河北省农林科学院谷子研究所,,智慧；贺强；汤沙；杨军军；张伟；刘会芳；贾彦超；贾冠清；张艾英；李俞辉；郭二虎；高鸣；李淑杰；李君霞；秦娜；朱灿灿；马春业；李顺国；程汝宏；刁现民,0040-5752,,2021/6/3
省科学技术奖,2021,Identification of Metastatic Lymph Nodes in MR Imaging with Faster Region-based Convolutional Neural Network,青岛大学附属医院；山东省数字医学与计算机辅助手术重点实验室,,卢云；于綦悦；高远翔；周云鹏；刘广伟；董蒨；马金龙；丁磊；姚宏伟；张忠涛；肖刚；安琪；王贵英；席金川；袁维堂；连贵玉；张佃良；赵春波；姚勤；刘伟,ISSN：0008-5472,,2018/7/19
省科学技术奖,2021,Transcriptional dysregulation of TRIM29 promotes colorectal cancer carcinogenesis via pyruvate kinase-mediated glucose metabolism,河北医科大学第四医院；河北医科大学第三医院,,韩晶；赵梓彤；张难；杨扬；马立颖；冯莉；张雪；左静；范志松；王玉栋；宋咏梅；王贵英,ISSN：1945-4589,,2021/1/20
省科学技术奖,2021,DUOX2 promotes the progression of colorectal cancer cells by regulating the AKT pathway and interacting with RPL3,河北医科大学第四医院；河北医科大学第三医院,,张雪；韩晶；冯莉；智亮辉；姜达；于滨；张振亚；高博；张璁；李萌；赵连梅；王贵英,ISSN：0143-3334,,2020/6/12
省科学技术奖,2021,Knockdown of isoc1 inhibits the proliferation and migration and induces the apoptosis of colon cancer cells through the akt/gsk-3βpathway,河北医科大学第四医院,,高博；赵连梅；王飞飞；白韩愈；李静；李萌；胡旭华；曹健；王贵英,ISSN：0143-3334,,2019/11/19
省科学技术奖,2021,The lncRNA FEZF1-AS1 Promotes the Progression of Colorectal Cancer Through Regulating OTX1 and Targeting miR-30a-5p,河北医科大学第四医院,,李静；赵连梅；张璁；李萌；高博；胡旭华；曹健；王贵英,ISSN：0965-0407,,2020/2/29
省科学技术奖,2021,Evaluation of Rectal Cancer Circumferential Resection Margin Using Faster Region-based Convolutional Neural Network (R-CNN) in High-resolution Magnetic Resonance Images,青岛大学附属医院,,王东升；徐吉华；张正东；李帅；张宪祥；周云鹏；张训营；卢云,ISSN：1671-0274,,2020/6/25
省科学技术奖,2021,薯蓣皂苷对结肠癌奥沙利铂耐药细胞的作用及其机制,河北医科大学第三医院,,周超熙；李保坤；马洪庆；张建锋；牛健；于滨；王贵英；赵阳,42-1213/R(国内)，1001-9030（国际）,,2020/9/1
省科学技术奖,2021,Contribution of retrotrapezoid nucleus neurons to CO2-amplified cardiorespiratory activity in spontaneously hypertensive rats,河北医科大学,,田彦明；耿丹阳；汪亚坤；石硌；尉红肖；何伟；朱玉芳；隽诗芮；付从蕊；王昕；张祥建；袁芳；王升,1469-7793,,2021/2/15
省科学技术奖,2021,A randomized parallel controlled phase II trial of recombinant human endostatin added to neoadjuvant chemotherapy for stage III breast cancer,河北医科大学第四医院,,张香梅；曹淼；刘北辰；刘月平；刘运江,20(4):291-299.e3; 1938-0666 (电子版),,2020/7/8
省科学技术奖,2021,Combination of pegylated liposomal doxorubicin and docetaxel as neoadjuvant therapy for breast cancer with axillary lymph node metastasis,河北医科大学第四医院,,王丽；洪洋；马杰；韩猛；张硕；单保恩；刘运江,48(8):300060520944310.（0300-0605）,,2020/7/1
省科学技术奖,2021,Tumor mutation burden and JARID2 gene alteration are associated with short disease-free survival in locally advanced triple-negative breast cancer,河北医科大学第四医院,,张香梅；李静平；杨青；王艳芳；李欣惠；刘运江；单保恩,8(17):1052.（2305-5839）,,2020/7/8
省科学技术奖,2021,"Pyrotinib or lapatinib combined with capecitabine in HER2–positive metastatic breast cancer with prior taxanes, anthracyclines, and/or trastuzumab: a randomized, phase II study",中国医学科学院肿瘤医院；河北医科大学第四医院；湖南省肿瘤医院；吉林大学第一医院；解放军第五医学中心；天津市肿瘤医院；北京大学肿瘤医院；华中科技大学同济医院；江苏省肿瘤医院；孙逸仙纪念医院；复旦大学肿瘤医院；江苏恒瑞医药股份有限公司,,马飞；欧阳取长；李薇；江泽飞；佟仲生；刘运江；李惠平；于世英；冯继锋；王树森；胡夕春；邹建军；朱晓宇；徐兵河,0732-183X,,2019/10/10
省科学技术奖,2021,Association of nuclear FOXP3 expression with low Ki67 index and better prognosis in patients with breast invasive ductal carcinoma,河北医科大学第四医院,,李静平；张香梅；郑丽华；刘运江,0028-2685,,2017/5/1
省科学技术奖,2021,Tumor cells interleukin-22 expression associates with elevated tumor-associated macrophages infiltrating and poor prognosis in patients with breast cancer,河北医科大学第四医院；河北大学附属医院,,赵继东；刘鸿章；张香梅；张文清；刘力；于洋；任曙光；杨青；刘北辰；李静平；李欣慧；刘运江；赵丽岩,1084-9785,,2021/3/1
省科学技术奖,2021,Association of p53 expression with poor prognosis in patients with triple-negative breast invasive ductal carcinoma,河北医科大学第四医院；河北医科大学第一医院,,李静平；张香梅；郑丽华；刘运江,0025-7974,,2019/4/5
省科学技术奖,2021,The prognostic value of the 8th edition of the American Joint Committee on Cancer (AJCC)  staging system in triple-negative breast cancer,河北医科大学第四医院；河北医科大学第一医院,,李静平；张香梅；张彦收；郑丽华；刘运江,0028-2685,,2019/2/27
省科学技术奖,2021,The evaluation of the role of medial collateral ligament maintaining knee stability by a finite element analysis,河北医科大学第三医院,,王鹏程；任栋；刘月驹；张现超；宋朝晖；鲁健,1749-799X,,2017/4/21
省科学技术奖,2021,A Novel Design of a Plate for Posterolateral Tibial Plateau Fractures Through Traditional Anterolateral Approach,河北医科大学第三医院,,王鹏程；任栋；刘月驹；鲁健；许润涛,2045-2322,,2018/11/6
省科学技术奖,2021,A Novel Design of a Plate for Posterolateral Tibial Plateau Fractures Based on Computed Tomography Mapping of the Proximal Tibiofibular joint,河北医科大学第三医院；苏州医科大学附属高邮医院,,王鹏程；任栋；刘月驹；周兵；鲁健,1643-3750,,2018/12/21
省科学技术奖,2021,A Novel Method of the Treatment for Posterolateral Tibial Plateau Fractures,河北医科大学第三医院；上海同济医科大学附属东方医院；苏州医科大学附属高邮医院,,王鹏程；任栋；刘月驹；陈雁西；鲁健；宋朝晖；周兵,1538-8506,,2020/10/1
省科学技术奖,2021,经前外侧入路旋转支撑接骨板治疗胫骨后外侧平台骨折,河北医科大学第三医院,,王鹏程；任栋；鲁健；刘绍铭；刘月驹,0253-2352,,2019/3/1
省科学技术奖,2021,SchatzkerⅡ型胫骨平台骨折2种内固定方法的生物力学对比研究,河北医科大学第三医院,,王鹏程；鲁健；任栋,1007-3205,,2015/10/1
省科学技术奖,2021,Diffusion tensor imaging study of brain precentral gyrus and postcentral gyrus during normal brain aging process,新乐市医院；河北医科大学第二医院；衡水市第五人民医院,,周玲；田娜；耿左军；吴炳坤；董丽英；王美荣,2162-3279,,2020/8/25
省科学技术奖,2021,Proton magnetic resonance spectroscopy reveals significant decline in the contents of N-acetylaspartylglutamate in the hippocampus of aged healthy subjects,河北医科大学第二医院,,常瑞亭；耿左军；朱青峰；宋振虎；王亚,1734-1922,,2016/12/19
省科学技术奖,2021,A voxel-based morphometric study of age- and sex-related changes in white matter volume in the normal aging brain,河北医科大学第二医院,,刘海静；王立新；耿左军；朱青峰；宋振虎；常瑞亭；吕焕娣,1176-6328,,2016/2/24
省科学技术奖,2021,Disrupted brain connectivity networks in acute ischemic stroke patients,河北医科大学第二医院,,朱一飞；白琳；梁盼盼；康姗；高恒波；杨海庆,1931-7557,,2017/4/11
省科学技术奖,2021,Clinical value of black-blood high-resolution magnetic resonance imaging for intracranial atherosclerotic plaques,河北医科大学第二医院,,杨海庆；朱一飞；耿左军；李彩英；周立霞；刘琦,1792-0981,,2015/4/30
省科学技术奖,2021,Diagnosis of Vein of Galen Aneurysmal Malformation Using Fetal MRI,河北医科大学第二医院；上海儿童医学中心,,周立霞；董素珍；张明峰,1053-1807,,2016/12/30
省科学技术奖,2021,感音性聋和正常人纯音刺激磁源成像研究,河北医科大学第二医院；天津医科大学总医院；河北省人民医院,,耿左军；张云亭；孙吉林；张权；李威,1673-0860,,2005/5/1
省科学技术奖,2021,Chemosensitive Phox2b-expressing neurons are crucial for hypercapnic ventilatory response in the nucleus tractus solitarius,河北医科大学,,付从蕊；薛瑾瑜；王日；陈金婷；马兰；刘宜先；王雪娇；郭芳；张翼；张祥建；王升,1469-7793,,2017/5/10
省科学技术奖,2021,Activation of Phox2b-Expressing Neurons in the Nucleus Tractus Solitarii Drives Breathing in Mice,河北医科大学,,付从蕊；石硌；魏子谦；尉红肖；田彦明；刘宜先；张翼；张祥建；袁芳；王升,1529-2401,,2019/4/10
省科学技术奖,2021,Respiratory Control by Phox2b-expressing Neurons in a Locus Coeruleus-preBotzinger Complex Circuit,河北医科大学,,刘娜；付从蕊；尉红肖；汪亚坤；石硌；郝银超；袁芳；张祥建；王升,1995-8218,,2020/2/28
省科学技术奖,2021,Leptin Signaling in the Carotid Body Regulates a Hypoxic Ventilatory Response Through Altering TASK Channel Expression,河北医科大学,,袁芳；王菡侨；冯佳琪；魏子谦；尉红肖；张祥建；张翼；王升,1664-042X,,2018/3/27
省科学技术奖,2021,Disordered Leptin signaling in the retrotrapezoid nucleus is associated with the impaired hypercapnic ventilatory response in obesity,河北医科大学,,魏子谦；郝银超；尉红肖；石硌；景心怡；张翔；刘娜；李涛；张祥建；袁芳,0024-3205,,2020/6/20
省科学技术奖,2021,Chronic Intermittent Hypobaric Hypoxia Pretreatment Ameliorates Ischemia-Induced Cognitive Dysfunction Through Activation of ERK1/2-CREB-BDNF Pathway in Anesthetized Mice,河北医科大学,,王锦添；张士肖；马慧娟；杨士杰；刘钊；武晓雷；王升；张翼；刘宜先,0364-3190,,2016/11/8
省科学技术奖,2021,Chronic Intermittent Hypobaric Hypoxia Improves Cardiac Function through Inhibition of Endoplasmic Reticulum Stress,河北医科大学,,袁芳；张黎；李艳青；滕旭；田思雨；王啸然；张翼,2045-2322,,2017/8/11
省科学技术奖,2021,Anti-diabetes effect of chronic intermittent hypobaric hypoxia through improving liver insulin resistance in diabetic rats,河北医科大学,,田彦明；刘岩；王升；董毅；苏彤；马会杰；张翼,0024-3205,,2016/4/1
省科学技术奖,2021,Chronic intermittent hypobaric hypoxia ameliorates diabetic nephropathy through enhancing HIF1 signaling in rats,河北医科大学,,田彦明；关玥；李娜；马会杰；张莉；王升；张翼,0168-8227,,2016/6/18
省科学技术奖,2021,Direct comparison of two albumin-based paclitaxel-loaded nanoparticle formulations:Is the crosslinked version more advantageous?,河北医科大学；石药集团中奇制药技术（石家庄）有限公司,,李春雷；李彦辉,0378-5173,,2014/4/5
省科学技术奖,2021,Mechanism of inhibitory effect of terpenoid compound from Achillea millefoliumon human lung cancer cell proliferation.,河北大学；河北医科大学,,王思明；王宇；吴一兵；董玫；倪志宇,0732-183X/1527-7755,,2021/5/1
省科学技术奖,2021,Inhibitory effect of Lignans from Ailanthus altissima on proliferation of human lung cancer cells and its mechanism.,河北大学；河北医科大学,,王宇；王思明；吴一兵；董玫；倪志宇,0732-183X/1527-7755,,2021/5/1
省科学技术奖,2021,MALDI-MS OF PSEUDO-ALKALOID TAXANES FROM Taxus canadensis,河北医科大学第二附属医院；河北医科大学；Syngenta Jealott's Hill 国际研究中心；河北医科大学第三附属医院,,侯森林；倪志宇；任天坤；董正明；董玫；顾玉成；杨杰；史清文,0009-3130,,2014/12/6
省科学技术奖,2021,Xylomexicanins I and J: Limonoids with Unusual B/C Rings from Xylocarpus granatum.,河北医科大学；河北省人民医院；Queen&rsquo;s University；Kobe University；Syngenta Jealott&rsquo;s Hill 国际研究中心；Okayama University,,吴一兵；王亚珍；倪志宇； 青霞；史清文；顾玉成,0163-3864,,2017/9/22
省科学技术奖,2021,Protein kinase Cα-mediated cytotoxic activity of ineupatorolide B from Inula cappa DC. in HeLa cells,河北医科大学；Chiba University,,董玫；史清文；王思明,1019-6439,,2015/9/4
省科学技术奖,2021,New 6/8/6-Taxanes Isolated from the Heartwood of Taxus cuspidata,河北医科大学；河北医科大学第四医院；Queens University；Tohoku University,,张恺；李勇；倪志宇；张曼丽；王于芳；史清文；霍长虹；顾玉成；董玫,0018-019X,,2012/1/31
省科学技术奖,2021,A NEW TETRACYCLIC TRITERPENOID FROM THE FRESH BARK OF Ailanthus altissima,河北医科大学；Queen&prime;s University；Syngenta Jealott&prime;s Hill 国际研究中心,,朱天惠；王于方；董玫；霍长虹；顾玉成；倪志宇,0009-3130,,2020/5/3
省科学技术奖,2020,Ultrahard nanotwinned cubic boron nitride,田永君；徐波；于栋利,田永君,田永君；徐波；于栋利；马琰铭；胡文涛；唐成春；高宇飞；罗坤；赵智胜；王利民；温斌；何巨龙；柳忠元,Nature      doi:10.1038/nature11728,2013年493卷385-388页,2013/1/17
省科学技术奖,2020,Nanotwinned diamond with unprecedented hardness and stability,黄权；于栋利；徐波；胡文涛,田永君,黄权；于栋利；徐波；胡文涛；马琰铭；赵智胜；温斌；何巨龙；柳忠元；田永君,Nature  /  doi:10.1038/nature13381,2014年510卷250-253页,2014/6/12
省科学技术奖,2020,Microscopic theory of hardness and design of novel superhard crystals,田永君,田永君,田永君；徐波；赵智胜,Int. Journal of Refractory Metals and Hard Materials、doi:10.1016/j.ijrmhm.2012.02.021,2012年33卷93-106页,2012/2/21
省科学技术奖,2020,Recent Advances in Superhard Materials,赵智胜,田永君,赵智胜；徐波；田永君,Annual Review of Materials Research、doi: 10.1146/annurev-matsci-070115-031649,2016年46卷383-406页,2016/2/22
省科学技术奖,2020,Role of plastic deformation in tailoring ultrafine microstructure in nanotwinned diamond for enhanced hardness,胡文涛；温斌；黄权,田永君,胡文涛；温斌；黄权；于栋利；赵智胜；何巨龙；柳忠元；徐波；田永君,SCIENCE CHINA Materials、doi: 10.1007/s40843-016-5161-2,2017年60卷2期178-185页,2017/1/16
省科学技术奖,2020,PP2A activates brassinosteroid responsive gene expression and plant growth by dephosphorylating BZR1,汤文强；袁敏；王瑞菊；杨艺红,孙颖；王志勇,汤文强；袁敏；王瑞菊；杨艺红；王春明；孙颖,Nature Cell Biology（ISSN:1465-7392）,2011年13卷2期124-131页,2011/1/20
省科学技术奖,2020,The brassinosteroid activated BRI1 receptor kinase is switched off by dephosphorylation mediated by cytoplasm-localized PP2A B’ subunits,王瑞菊；刘朦朦；袁敏,汤文强,王瑞菊；刘朦朦；袁敏；蔡兴卜；孙颖；汤文强,Molecular Plant（ISSN:1674-2052）,2016年9卷1期148-157页,2016/1/4
省科学技术奖,2020,OsBRI1 activates BR signaling by preventing binding between the TPR and kinase domains of OsBSK3 via phosphorylation,张宝文,汤文强,张宝文；王小龙；赵志英；王瑞菊；黄夏禾；朱亚丽；袁力；汪迎春；徐小冬；高英杰；孙玉；汤文强,Plant Physiology（ISSN:0032-0889）,2016年170卷2期1149-1161页,2015/12/23
省科学技术奖,2020,"BZS1, a B-box protein, promotes photomorphogenesis downstream of both brassinosteroid and light signaling pathways",范喜英；孙玉；曹东梅,王志勇,范喜英；孙玉；曹东梅；罗小敏；杨红娟；魏创奇；朱生伟；孙颖；种康,Molecular Plant（ISSN:1674-2052）,2012年5卷3期591-600页,2012/4/25
省科学技术奖,2020,The Antagonistic Regulation of Abscisic Acid-Inhibited Root Growth by Brassinosteroids is Partially Mediated via Direct Suppression of ABSCISIC ACID INSENSITIVE 5 Expression by BRASSINAZOLE RESISTANT 1,杨晓瑞,汤文强,杨晓瑞；商建秀；辛睿姣；汤文强,"Plant, Cell &amp; Environment（ISSN:0140-7791）",2016年39卷9期1994-2003页,2016/7/15
省科学技术奖,2020,Blockade of Ras-ERK1/2 pathway is involved in SM22α-mediated suppression of VSMC proliferation and neointima hyperplasia.,董丽华,韩梅,温进坤；刘国庆；苗穗兵；高蕊；郑斌；张海林,Arterioscler Thromb Vasc Biol,2010年30卷683-691页,2010/4/1
